Gross Margin,Total Revenue,Tissue Revenue,Organ Revenue,Total Costs,Surgeon Fees,Hospital Costs,Preservation Supplies/Instruments,Lab Fees,Import Costs (Acquisition Charge),Transportation,Biopsy,Consults,Other,Restoration/Embalming
3881404.10,8811100.05,1502700.05,7308400.00,4929695.95,141075.00,313289.58,738258.47,442805.38,1507234.00,1608447.29,112865.00,42318.58,7100.00,16302.65
2665086.24,7729008.75,1501308.75,6227700.00,5063922.51,202275.00,170968.01,444778.15,330559.98,2293328.00,1513458.79,41475.00,21318.92,5480.66,40280.00
4554561.20,9088783.60,1713183.60,7375600.00,4534222.40,164750.00,405376.31,479350.74,397739.85,2400392.00,543594.59,67045.00,32600.00,2593.91,40780.00
1198521.73,5796400.00,0.00,5796400.00,4597878.27,229275.00,379121.05,565625.53,328276.96,2082858.00,886790.57,53002.00,26619.16,3560.00,42750.00
4279339.85,9460455.25,1430755.25,8029700.00,5181115.40,-6350.00,336876.09,640764.23,466291.76,2123280.00,1453796.86,93255.00,22316.46,3665.00,47220.00
3934540.39,9262485.49,1495185.49,7767300.00,5327945.10,199125.00,128882.99,625652.43,456153.38,2283027.77,1215253.57,66720.00,299569.96,14460.00,39100.00
4988378.03,10454160.00,1563760.00,8890400.00,5465781.97,268975.00,312466.21,756367.34,473541.35,2064245.00,1386335.82,100740.00,33981.00,20512.50,48617.75
2934051.48,7816318.30,1357218.30,6459100.00,4882266.82,173517.45,271462.75,581978.88,419979.57,2182140.00,1072002.92,64340.00,48404.50,16528.00,51912.75
2549469.51,7277775.45,1225575.45,6052200.00,4728305.94,189714.56,220659.54,773750.97,389325.79,1661710.00,1340265.22,64140.00,27895.00,11110.00,49734.86
2465473.93,7772058.45,1583492.08,6188566.37,5306584.52,123800.00,317406.37,704623.92,460407.83,2310590.00,1223855.15,65094.00,35665.50,14829.00,50312.75
1778122.84,7168331.35,1399567.35,5768764.00,5390208.51,119792.50,279611.46,660804.91,419037.03,2494165.00,1045332.21,59696.00,251155.50,17816.50,42797.40
2949281.80,7569837.70,1627237.70,5942600.00,4620555.90,142588.33,140654.54,435351.40,357619.19,2120739.00,1175785.27,65057.00,82096.00,21428.50,79236.67
3912292.73,8782235.90,1759845.90,7022390.00,4869943.17,162885.64,190831.25,663376.39,344137.94,2193228.00,1182861.70,56474.00,15563.00,16745.00,43840.25
2080049.59,8668055.35,1302325.35,7365730.00,6588005.76,113950.00,366209.15,682561.33,471971.73,2973130.06,1517286.99,82564.00,321390.00,15307.50,43635.00
3708698.83,10041494.70,1489754.70,8551740.00,6332795.87,182287.50,421707.76,670490.00,444615.78,2912416.00,1392580.08,77926.00,172375.00,14952.50,43445.25
