Year,Month,Organ Donors,BD Donors,BD Organs Transplanted,Authorized Not Rocovered - DCD,DCD Donors,DCD Organs Transplanted ,NRP Donors,Organs Exported,Local Organs Transplanted,Organs Imported,Regional Organ Donors (NOT STL),In-House Liver NMP (Local & Imports),Unique_Eye_And_Tissue_Donor,Bone Donors,Skin Donors,Eye Donors,HV Donors,Regional Tissue Donors (NOT STL),Tissue Donors: Males Under Age 60,Tissue Donors: Males Age 60 - 69,Tissue Donors: Males Age 70+,Tissue Donors: Females Under Age 60,Tissue Donors: Females Age 60 - 69,Tissue Donors: Females Age 70+
2024,1,37,20,65,4,17,31,4,68,96,29,13,6,203,140,117,112,28,53,40,36,57,32,15,23
2024,2,18,13,47,14,5,14,2,47,61,41,3,4,207,137,129,136,31,40,55,29,59,28,14,22
2024,3,23,11,48,12,12,29,4,55,77,44,6,8,199,135,115,134,24,35,38,37,59,28,16,21
2024,4,21,6,22,10,15,35,7,34,57,40,7,8,211,140,130,129,27,46,52,32,64,26,17,20
2024,5,37,19,58,16,18,35,9,67,93,38,11,12,232,161,136,165,18,47,42,30,62,30,38,30
2024,6,29,18,70,10,11,22,2,73,92,40,10,6,219,142,135,147,28,47,41,38,59,25,20,36
2024,7,33,24,94,14,9,15,2,92,109,36,8,7,231,167,123,149,24,54,47,33,62,40,29,20
2024,8,25,8,33,14,17,34,8,52,67,41,4,10,243,175,139,137,28,59,49,45,66,24,24,35
2024,9,30,14,46,8,16,19,7,47,65,31,7,11,216,155,138,142,28,48,53,20,58,24,22,39
2024,10,25,10,39,14,15,25,7,38,64,39,5,10,242,176,124,169,30,47,50,36,69,30,18,39
2024,11,28,12,30,13,16,27,6,36,57,38,7,8,234,165,152,171,31,47,49,37,67,23,16,42
2024,12,18,9,32,3,9,21,4,39,53,45,8,3,196,150,128,137,25,53,41,29,57,25,17,27
2025,1,26,10,31,11,16,35,11,47,66,43,5,8,216,150,142,147,16,50,40,33,58,28,21,36
2025,2,30,8,32,18,22,41,8,57,73,54,9,4,240,177,136,168,29,57,44,40,74,23,10,49
2025,3,30,12,37,17,18,38,5,51,75,43,7,8,212,148,135,144,28,52,36,28,69,24,22,33
