,Gross Margin,Total Revenue,Tissue Revenue,Organ Revenue,Total Costs,Surgeon Fees,Hospital Costs,Preservation Supplies/Instruments,Lab Fees,Import Costs (Acquisition Charge),Transportation,Biopsy,Consults,Other,Restoration/Embalming
Year,0.01981466498089178,0.33078239287391975,0.1512682702555797,0.33713603896540545,0.6423336489231524,-0.061699522713836524,0.2327324790693418,0.21130317221323297,0.0664412564088338,0.6123651916154885,0.23766994986526777,0.026229516865796193,0.35287040502045497,0.26556434331408807,-0.06979419055676783
Month,-0.26981605587400415,-0.3358778187795418,0.0402526606030254,-0.42080145414206904,-0.1971946857208827,-0.05521251810257088,-0.307452847472304,0.0011846814172781633,0.09149360041080329,-0.12565708672017364,-0.2057869429384948,-0.17998522849431217,0.05788561965495707,0.521144778493174,0.677921045335741
Organ Donors,0.4388486976573575,0.5753213493709787,0.16189459757267094,0.6273394519886277,0.38026281968909803,-0.33965889985004744,0.3130542875796399,0.787869593553813,0.7485021360518551,-0.1835136798725232,0.5024836562197514,0.8375170028464056,0.1535092095495546,-0.026290738191646963,-0.4932073858680335
BD Donors,0.6893655337741842,0.6457001082067781,0.3449837571420767,0.6379829139416051,0.06808226913117882,0.033164724109264854,-0.09407181334981418,0.4446902603945955,0.5095314753609804,-0.4077599172470855,0.46554889333877714,0.6761105289877662,-0.07404527160543614,-0.020400291386698556,-0.35570634705426385
BD Organs Transplanted,0.7349994052608128,0.6748004739779225,0.3439992393487745,0.6734278266255166,0.044606996205579445,0.21259905879136326,-0.09093038679341231,0.34441217346994535,0.5146570861263315,-0.3541077002126814,0.3403180196744171,0.6228752928959363,-0.08281552945662837,0.003755009356961665,-0.2868404970169913
Authorized Not Rocovered - DCD,0.006614807628537174,0.334055520157766,0.034771915933303615,0.3882363986707872,0.6731016621791116,-0.16882047448764564,0.48409545218307226,0.1436628953120095,0.40841959640623726,0.7247948557980244,0.09487352192763487,-0.0322276801677577,0.2635732827337035,-0.021445860559347787,-0.08716453668982158
DCD Donors,-0.2173760062254818,0.0177027074103049,-0.1865469902766173,0.0968352305162668,0.43244365948023356,-0.4965007326251166,0.5321005086637958,0.5398336563638884,0.4107395602201355,0.23105580237635165,0.13088591853494505,0.3352705360956526,0.2936656498749648,-0.011490739801696116,-0.24723096101912817
DCD Organs Transplanted ,-0.13985251768535975,0.04647076753550268,-0.24068118703965716,0.1533952559304058,0.35017280471619405,-0.43727003034079676,0.5873011150846356,0.12754444123453168,0.1697877353414385,0.4075340739817622,-0.08032447034168144,0.18401233101913514,0.23149270816649833,-0.15327603196212758,-0.2236913536815232
NRP Donors,-0.2734193767541332,-0.2368557881922074,-0.16516098263199616,-0.21839378051626177,0.012468461651570284,-0.5019529619084916,0.1937116752878211,0.25278639594838337,-0.07275364865147486,0.07709980336505373,-0.06171652570475831,-0.10995883141137283,-0.13160780123377522,-0.006139779577067118,0.09988813006132671
Organs Exported,0.7699908000018039,0.798807141690103,0.3195463453268692,0.8326711619519137,0.2351812085063427,0.13529625482820837,0.042187213200558064,0.37008264619351,0.6128888316588564,-0.16369768441365984,0.36673079033103734,0.7225629964180058,0.0663604184234815,0.05280995856391507,-0.3110995213341696
Local Organs Transplanted,0.7739682297716428,0.7994229184939959,0.27321069920512575,0.8521697140585344,0.22919591645743823,0.02226047080918366,0.1938470115809776,0.46076912560895467,0.6779607827005905,-0.20005969225085313,0.35045055638660616,0.8096054358300813,0.02240171104762164,-0.07355755205037276,-0.4434286133179183
Organs Imported,-0.17850495726030824,0.05493255752143986,0.058238722866603844,0.042581401511822776,0.4379663839020158,-0.12185241068977007,0.11969302082382205,-0.45165518499863677,-0.05170991308717553,0.8194209696023195,-0.1927924129685014,-0.3054728989582546,0.45180827984707295,0.20293595033220152,0.3700427072425963
Regional Organ Donors (NOT STL),0.28477419719574676,0.336513353103517,-0.028634322256590395,0.4168636707092875,0.1712392270949814,-0.34770192917909243,0.13059857963976934,0.385303553090535,0.5150632027342228,-0.26711786950199945,0.3775300315134196,0.7847754130272887,0.2851034417115104,-0.11000563289890365,-0.32824548315940405
In-House Liver NMP (Local & Imports),0.08924959021056042,-0.011747553292197978,-0.12265676083777344,0.035504309963976945,-0.18673843274333884,-0.2900184370108209,0.32458582254012125,0.42810052207511057,0.21771145898433583,-0.22624385523667043,-0.1922741883384243,0.06113342533618913,-0.373637224804414,-0.24222948101278374,-0.06843593745730306
Unique_Eye_And_Tissue_Donor,-0.19011904900745666,0.05800445784770297,-0.008529023913809773,0.07330897124144692,0.46543185716806496,-0.2620407825279874,0.17424780309897303,0.48115766775077307,0.5845271779314989,0.29235596452572354,0.17787898948636946,0.11333929576480288,0.2746728197193267,0.340408714700261,0.04460810909640996
Bone Donors,-0.1991213171139537,0.040748578850199106,0.11211644806203755,0.003689209257429278,0.446444896806917,-0.29341276680294737,0.14582948543135354,0.446448300323088,0.5527558854073215,0.2649965275015819,0.21204028534913777,0.1886685966045927,0.2158452016420925,0.547015536823306,0.31395190304534043
Skin Donors,-0.40704259094734085,-0.23734217819910267,-0.10142711546526928,-0.24477941563071307,0.2549790069211742,-0.21707241056507293,-0.25654043400378934,0.17100932448395886,-0.06443917139384937,0.29314982514659843,0.06833079356598058,-0.36719102449917673,0.4282957233588299,0.36930974323312105,0.18248593083344658
Eye Donors,-0.17161840982159463,0.1077829067679297,0.18705268810625558,0.05408584907148524,0.5338140665351638,-0.46448849183197216,0.0793479951482465,0.27343804348255635,0.45816750204501006,0.5499369775895122,0.08925653904913719,-0.0717586330702563,0.4402527524317051,0.35024673268639744,0.27706247840036147
HV Donors,-0.5671850931032577,-0.3766637233132255,-0.2110353200799915,-0.3681981216719046,0.2610626086372665,0.2758661625795656,0.019713039990123013,-0.010327917719717222,0.09340102693428948,0.17538622193406223,0.10069894622453872,-0.19749811875913803,0.3978624773199425,0.0697861872802287,-0.14283856814851836
Regional Tissue Donors (NOT STL),-0.05863404158215955,0.14529844675103054,0.000519524848750081,0.1747766235259328,0.4048624077841869,-0.007604588056631532,-0.026793049056071702,0.4284966475885105,0.3746122493858181,0.023943245450079698,0.46726032896891295,0.42962595259771813,0.2424330101708888,0.6494903323006709,0.1820334925948781
Tissue Donors: Males Under Age 60,-0.6219861536479796,-0.6586026113624798,-0.457079637717256,-0.6081446513945676,-0.21733437515071538,0.2642142763931967,-0.2069074110373106,0.011248975116557973,-0.3084680639818814,-0.2434733670638033,0.05263977952679121,-0.4601633161649772,-0.23241906215305946,-0.08584312171052225,0.09677258694004735
Tissue Donors: Males Age 60 - 69,0.0010619478326164764,0.0812002569562075,0.09354794360573333,0.05992292690540428,0.16460849976285177,-0.08456794539583919,0.15345970483618177,-0.07410996773096772,0.3479370214985441,0.28899621949736465,-0.2538433430382309,0.10788114742596513,0.3515625200015925,0.1590538854579378,-0.2201196548039673
Tissue Donors: Males Age 70+,-0.42474796669410264,-0.008538527849855163,-0.20107328348440653,0.0711125195148937,0.7565263397502997,-0.18821820314572862,0.5643235487757847,0.2559230212572233,0.4656788677926672,0.7331499374941969,0.07873319054569285,0.030240877425028696,0.49814179239228906,0.23167739285949734,0.02298483983643046
Tissue Donors: Females Under Age 60,0.6094311728457392,0.48247665762044956,0.21661600211182486,0.49337246494590514,-0.12102476308660093,0.20281428836779763,0.11738708558447951,0.2766695047650659,0.2649337318337732,-0.4026348387012475,0.21984625033546193,0.5477421405706536,-0.49868930845729464,-0.03801858614938132,-0.1983051666821666
Tissue Donors: Females Age 60 - 69,0.5250412391306053,0.4260354879304782,0.09697026863935733,0.4738321364810492,-0.08299908173383203,-0.25058652949558874,0.059244069477450007,0.26338958651107647,0.3200854085748876,-0.2401008794062972,0.13433945346037782,0.346271939181478,-0.35508064913085824,-0.016144620153266547,0.17648364123542165
Tissue Donors: Females Age 70+,-0.37377442848729636,-0.07244739526137565,0.1611728043505128,-0.15249414248600318,0.5325560876793154,-0.3808058720141389,-0.09118949786088107,0.40219800916455833,0.35609711610417266,0.4348920034778874,0.18965049641574638,-0.11865556990543714,0.626299120777168,0.44496196199689303,0.11253981536380923
