,Gross Margin,Total Revenue,Tissue Revenue,Organ Revenue,Total Costs,Surgeon Fees,Hospital Costs,Preservation Supplies/Instruments,Lab Fees,Import Costs (Acquisition Charge),Transportation,Biopsy,Consults,Other,Restoration/Embalming
Year,0.944121816519265,0.22849597100266392,0.5904755180306807,0.21913909537120144,0.009818881463606275,0.8270884951551954,0.4038727869503222,0.4496642451258947,0.8140064563749958,0.015238404985839107,0.3936836556669364,0.9260716907277113,0.19702225349583216,0.33875555437683047,0.8047832500597274
Month,0.3307843361731675,0.220972535095854,0.8867407913556556,0.11830422859178205,0.4811589565585822,0.845053528021402,0.26496571578781125,0.9966567522692191,0.7457166092614929,0.6554359602419358,0.4618540400451258,0.5209506872650037,0.8376415928525938,0.04635924024015902,0.005478469331787289
Organ Donors,0.10174034202646308,0.0248366717449254,0.564315381091748,0.012300074961653952,0.1620606341920356,0.21549185746954466,0.2559060122626901,0.00048632903706581897,0.001326350450660946,0.5126728880226877,0.05627147102633324,9.766582396084001e-05,0.5849180897501404,0.9258995739990681,0.06173735323742631
BD Donors,0.004467236439331552,0.009319872404764422,0.20792067548052223,0.010494418620859843,0.8094894723841533,0.9065952076106137,0.738778615759098,0.09674564841891344,0.05236160653356608,0.1313710683226151,0.08031703704480438,0.005653788730575364,0.7931238295903897,0.9424728085946926,0.19319497875965563
BD Organs Transplanted,0.0017977989464070382,0.005783387557418191,0.2093075649661829,0.005921683577072657,0.8745738281600619,0.44682406864214014,0.7472346577164469,0.20872515016595758,0.04964603905686283,0.19534650054482766,0.2145453550651103,0.013125500912054522,0.7692001842780671,0.9894033669183852,0.29995052883573897
Authorized Not Rocovered - DCD,0.9813340335714198,0.2236450112565432,0.9020883108229829,0.1527144404139104,0.005954925687978934,0.5475345411162893,0.06747222376725255,0.6094934396452943,0.13068751087696395,0.00223662733841021,0.7366249903178838,0.9092241010570133,0.3425253439058484,0.9395292360344989,0.7574068029951275
DCD Donors,0.43643248008333874,0.9500703748978063,0.505605260135025,0.7313629562629483,0.1074209508381281,0.05975446978180524,0.041177733964165485,0.037788612611819504,0.12830282767548015,0.40736408326500945,0.6419668217897567,0.22186089479686408,0.2880802733696261,0.9675801525139699,0.3743479901665243
DCD Organs Transplanted ,0.6191105581043954,0.8693738513334208,0.38753744697206943,0.5852001729198767,0.2007077662531539,0.10312050161590061,0.021335857213770622,0.6505626210601105,0.5452083572813259,0.13160564465762245,0.7759766739546733,0.5115079291446605,0.4064528068787363,0.585495361885954,0.4228846413697355
NRP Donors,0.3241130750568264,0.3953542902454746,0.5563741220234866,0.4342344050911238,0.9648231293622337,0.056574272871243336,0.4890927827065283,0.36335503369969124,0.796662174009027,0.7847710703402241,0.8270415078559172,0.6964556977365243,0.6401152932893964,0.9826742969912151,0.7231960712463112
Organs Exported,0.0007853985655240658,0.00035466217659744554,0.2456456549797498,0.00011677149194164653,0.3988022851524319,0.6306858345672126,0.8813321773093692,0.17453387793709463,0.015127295973624362,0.5599257738881606,0.17877464434449392,0.002343174169338658,0.8142291094513442,0.8517256325056496,0.25904585866211394
Local Organs Transplanted,0.0007085483012830173,0.0003482200448063466,0.32449730840112484,5.484140539699733e-05,0.41125529701485136,0.937236379641302,0.4887833535240035,0.0838917230872961,0.005474670199846518,0.4746793945602884,0.20032627047035753,0.0002547988051795745,0.9368388815116117,0.7944594796641654,0.09780949827028905
Organs Imported,0.5244413323569485,0.8458305070839742,0.8366634470691972,0.8802306964222,0.10251010864242144,0.6652991629960577,0.6709200030636107,0.09101862224327699,0.8547836926171645,0.0001852423901789306,0.4911970106250889,0.26821388967087906,0.09089549169089192,0.46821705311368245,0.17458401657385864
Regional Organ Donors (NOT STL),0.3035998601996909,0.22004525048573217,0.9193132150531667,0.12215104678609139,0.5417257540937019,0.2041220480876847,0.6427043515602909,0.1561092200903052,0.04943540132585373,0.33583050354306665,0.16534915929692554,0.0005300444061914087,0.3030166464861427,0.6963321716659396,0.2323007358294582
In-House Liver NMP (Local & Imports),0.7517700734358362,0.9668559443372993,0.6632096604666441,0.9000354393005041,0.505160717172251,0.29438834022147303,0.2378585377808031,0.11139607188017547,0.435707384948243,0.41747114398543445,0.4923851280389223,0.8286531995855848,0.17010929854848042,0.38439738141405627,0.8085167051661794
Unique_Eye_And_Tissue_Donor,0.49734063484089713,0.8373123695660627,0.9759336895784495,0.7951404376750907,0.08040324551937565,0.3454428947869456,0.53453845933238,0.06940058942172647,0.02211069131445984,0.2903361592490998,0.5259205954764867,0.6875518052149538,0.3218106229319471,0.21441532259675242,0.8745707217200404
Bone Donors,0.476796991793858,0.8853538539234352,0.6907683687687058,0.9895890453918694,0.09527964570333983,0.28851504379129667,0.6040513295813023,0.09527681733137626,0.032595796936161804,0.339828238236811,0.44804762267533205,0.5006888782630744,0.43974912252976267,0.034831722012999895,0.2544720369160037
Skin Donors,0.13211711773107598,0.39435578060947757,0.7190895191343568,0.3792558556143333,0.3590657832605163,0.43708924125335713,0.35602841064207486,0.5422767142791676,0.8195246737306984,0.2889675194215827,0.8088058770602917,0.17818840708950023,0.11121525541714863,0.17550584401809502,0.5150777635997701
Eye Donors,0.5408175820527733,0.7022065205103584,0.504431386646356,0.8481811902422427,0.040407991274823314,0.08110053634915536,0.7786371280293665,0.3240787171186738,0.08588424000332791,0.033679886540058185,0.7517513072452583,0.799390487436176,0.10052373372467585,0.20060617970275055,0.31744713958552234
HV Donors,0.027451945817331243,0.1664007775581314,0.45025241242964126,0.17690997473658535,0.3473123816507567,0.31962731453034093,0.9444079939736094,0.970859570743313,0.740581931948995,0.5318299353151361,0.7210316485033931,0.4804707088252966,0.14192023390795633,0.8048052374314358,0.611569028666613
Regional Tissue Donors (NOT STL),0.8355686218257009,0.6053834336611461,0.9985338641630019,0.5332795300872063,0.13440227963952822,0.9785415795948095,0.9244875004678725,0.11102935030940031,0.1689086650319918,0.9325013973353985,0.07906391849610059,0.10998846819549687,0.38398562814633336,0.008782014194863887,0.5161380738074786
Tissue Donors: Males Under Age 60,0.0132949091556824,0.007588106866718966,0.08672727828502257,0.01615710702008864,0.4365225099980358,0.3413091504633049,0.4593649920776459,0.9682619448982184,0.26330949913079554,0.3818846253057393,0.8521985928815111,0.0843527328613975,0.4045242064505298,0.7609850140856151,0.7315308194081437
Tissue Donors: Males Age 60 - 69,0.9970031128836943,0.7735925144216867,0.740186859314301,0.8320010410744838,0.5577139481256229,0.7644422852142124,0.5850406279253996,0.7929466952597826,0.2037956075486449,0.29617080178115346,0.36128389788299475,0.7019465510341,0.19880363304991389,0.5712604488358831,0.4305199450440568
Tissue Donors: Males Age 70+,0.1145334295520376,0.9759068795270573,0.47239717234990986,0.8011632739530847,0.0010972888086521148,0.5017307047408568,0.02841955843308602,0.3572277287610212,0.08022137554875183,0.001871705025887265,0.7803133658299797,0.9148009726316639,0.058783905771941855,0.40606792259691377,0.9351979060168286
Tissue Donors: Females Under Age 60,0.01587266208065449,0.06852995189068456,0.4380775190672625,0.061636838357982296,0.6674515747414845,0.4684895307793831,0.6769402173064278,0.318162350431281,0.3399469854738518,0.13676467852811777,0.43110728819708155,0.034542527895840884,0.05846266181488489,0.8929925694401984,0.47864245845948417
Tissue Donors: Females Age 60 - 69,0.04446415406738561,0.11332141874022036,0.7310011392052119,0.07438164105803904,0.7687014689503423,0.3676866440051518,0.833879715117561,0.3428743294373323,0.24480527259873525,0.38871788775479943,0.6331268758811296,0.2061148774059185,0.1940352379644775,0.9544604825483471,0.5292247603354899
Tissue Donors: Females Age 70+,0.16994000886816754,0.7975016836109149,0.5660766540373098,0.5874327618523901,0.040972029845865614,0.1614123517236123,0.7465361595801837,0.1372312263439296,0.19267140222104992,0.10522409846031211,0.49842110002279905,0.673626252715057,0.012488727741052847,0.09651761122041824,0.689654189796855
